U06;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
392377;Chief of Navy;None;1003;SC;Undistinguished Suit;High;M49009;x
392378;Chief of Air Force;None;1003;SC;Undistinguished Suit;High;M49010;x
392379;Head of Government;Jose Maria Aznar;1003;SC;Silent Workhorse;High;M76001;x
392380;Foreign Minister;Pilar del Castillo;1003;SC;General Staffer;High;M76002;x
392381;Minister of Armament;Federico Trillo;1003;SC;Military Entrepreneur;High;M76003;x
392382;Minister of Security;Javier Arenas;1003;SC;Man of the People;High;M76004;x
392383;Head of Military Intelligence;Alberto Saiz Cortés;1003;SC;Industrial Specialist;High;M76005;x
392384;Chief of Staff;Félix Sanz Roldán;1003;SC;School of Fire Support;High;M76006;x
392385;Chief of Army;Jose Antonio Garcia Gonzalez;1003;SC;Guns and Butter Doctrine;High;M76007;x
392386;Chief of Navy;Sebastián Zaragoza Soto;1003;SC;Indirect Approach Doctrine;High;M76008;x
392387;Chief of Air Force;Francisco José García de la Vega;1003;SC;Naval Aviation Doctrine;High;M76009;x
392388;Foreign Minister;Loyola de Palacio;1003;SC;Iron Fisted Brute;High;M76011;x
392389;Foreign Minister;Ana Pastor Julián;1003;ML;General Staffer;High;M76012;x
392390;Minister of Armament;Ignacio Astarloa;1003;SL;Military Entrepreneur;High;M76013;x
392391;Minister of Security;Tomás Zambrana Pineda;1003;ML;Crime Fighter;High;M76014;x
392392;Minister of Security;Francisco Pardo Piqueras;1003;ML;Compassionate Gentleman;High;M76015;x
392393;Minister of Security;Ángel Acebes;1003;ML;Compassionate Gentleman;High;M76016;x
392394;Head of Military Intelligence;Francisco Torrente;1003;ML;Industrial Specialist;High;M76017;x
392395;Head of Government;José Luis Rodriguez Zapatero;1004;SL;Flamboyant Tough Guy;High;M76018;x
392396;Foreign Minister;Miguel Ángel Moratinos;1004;SL;General Staffer;High;M76019;x
392397;Minister of Security;José Bono;1004;SL;Crime Fighter;High;M76020;x
392398;Chief of Staff;Pedro Solbes;1004;ML;School of Defence;High;M76021;x
392399;Head of Government;Mariano Rajoy;1003;SC;Silent Lawyer;High;M76022;x
392400;Minister of Security;José Antonio Alonso;1004;SL;Silent Lawyer;High;M76023;x
392401;Head of Government;Jose Socrates;1003;SL;Silent Workhorse;High;M67001;x
392402;Foreign Minister;Maria Manuela Franco;1003;SL;Ideological Crusader;High;M67002;x
392403;Minister of Armament;Luís Amado;1003;SL;Resource Industrialist;High;M67003;x
392404;Minister of Security;Maria Pinto de Fronseca;1003;SL;Crime Fighter;High;Unknown;x
392405;Head of Military Intelligence;Maria da Graça Martins;1003;SL;Industrial Specialist;High;Unknown;x
392406;Chief of Staff;Maria dos Anjos Capote;1003;SL;School of Defence;High;Unknown;x
392407;Chief of Army;Gabriel Espírito Santo;1003;SL;Guns and Butter Doctrine;High;M67007;x
392408;Chief of Navy;Francisco A. Torres Vidal;1003;SL;Open Seas Doctrine;High;M67008;x
392409;Chief of Air Force;David César de Almeida Oliveira;1003;SL;Naval Aviation Doctrine;High;M67009;x
392410;Head of Military Intelligence;Mariano Gago;1005;SL;Technical Specialist;High;M67011;x
392411;Chief of Staff;Francisco Nunes Correira;1005;SL;School of Defence;High;M67012;x
392412;Foreign Minister;Diogo Freitas do Amaral;1005;SL;Great Compromiser;High;M67013;x
392413;Chief of Staff;Antínio Costa;1005;SL;School of Defence;High;M67014;x
392414;Head of Government;Göran Persson;1003;SL;Flamboyant Tough Guy;High;M79002;x 
392415;Foreign Minister;Anna Lindh;1003;SL;Ideological Crusader;High;M79003;x 
392416;Minister of Armament;Leif Pagrotsky;1003;SL;Military Entrepreneur;High;M79004;x 
392417;Minister of Security;Thomas Bodström;1003;SL;Man of the People;High;M79005;x 
392418;Head of Military Intelligence;Jan Danielsson;1003;SL;Technical Specialist;High;M79006;x 
392419;Chief of Staff;Johan_Hederstedt;1003;SL;School of Defence;High;M79007;x 
392420;Chief of Army;Alf Sandqvist;1003;SL;Guns and Butter Doctrine;High;M79008;x 
392421;Chief of Navy;Peter Nordbeck;1003;SL;Base Control Doctrine;High;M79009;x 
392422;Chief of Air Force;Mats Evald Nilson;1003;SL;Air Superiority Doctrine;High;Unknown;x 
